,train
468,"[174, 1060, 840, 5010, 4003, 6428, 1425, 264, 1092, 939, 1106, 7172, 7144, 897, 3913, 5148, 353, 224, 5957, 624, 420, 850, 463, 7384, 1750, 404, 1073, 450, 846, 4505, 249, 2108, 434, 566, 4973, 719, 4973, 1292, 846, 4974, 2079, 2716, 1950, 293, 306, 434, 4831, 410, 1369, 1757, 1148, 4305, 767, 4973, 719, 9061, 897, 2552, 7853, 2480, 4974, 226, 2031, 5116, 249, 1317, 1425, 5993, 803, 5934, 8573, 47, 621]"
469,"[9976, 363, 30, 151, 9791, 6627, 676, 4834, 3218, 670, 1614, 2206, 676, 1128, 1223, 548, 4832, 3873, 5936, 1938, 1113, 6110, 2421, 1798, 750, 548, 249, 857, 1501, 1730, 2421, 611, 3900, 923, 676, 305, 505, 1162, 2008, 1681, 857, 2320, 670, 4976, 836, 970, 2348, 1870, 3218, 2348, 1870, 4254, 1681, 857, 4328, 439, 264, 857, 5697, 517, 353, 836, 802, 589, 624, 676, 3199, 1407, 1775, 1373, 2574, 1990, 2348, 1870, 3218, 2349, 2049, 1113, 6889, 5660, 1798, 3539, 7110, 609, 2088, 8451, 670, 1176, 2206, 7116, 1798, 8092, 7728, 8276, 1447, 1113, 35, 621]"
470,"[174, 1098, 806, 5011, 3985, 7256, 161, 203, 667, 1034, 1180, 7171, 6557, 1031, 4086, 5150, 319, 196, 3329, 407, 267, 196, 64, 622, 437, 1032, 667, 9966, 296, 4877, 8031, 313, 2261, 462, 2915, 3208, 2915, 6514, 4877, 431, 1711, 2262, 2252, 313, 8752, 3647, 436, 1236, 1756, 1164, 4459, 769, 2915, 3208, 7397, 1031, 2626, 7865, 7810, 431, 6158, 1443, 529, 180, 666, 5979, 4461, 303, 151, 5935, 8479, 71, 621]"
471,"[174, 2274, 818, 5005, 4073, 1608, 263, 2004, 1459, 6182, 7090, 1672, 941, 7124, 1914, 6652, 5141, 433, 1976, 690, 436, 6987, 943, 442, 7287, 1813, 5745, 1755, 5970, 460, 666, 501, 8089, 3629, 747, 3629, 1479, 2095, 5662, 1200, 6169, 436, 1126, 518, 869, 6017, 1692, 752, 5423, 1863, 4212, 807, 3629, 747, 7423, 1914, 3324, 4072, 908, 3835, 4582, 506, 2094, 301, 1672, 1418, 1295, 301, 2004, 8813, 301, 908, 7189, 8681, 83, 621]"
472,"[4361, 2271, 2996, 787, 3056, 5523, 2831, 2001, 43, 5220, 1706, 9322, 1743, 7232, 1669, 1177, 6619, 2210, 905, 43, 8046, 686, 42, 483, 2527, 945, 3411, 2344, 9437, 1277, 6326, 3682, 281, 9481, 46, 527, 1001, 744, 35, 1001, 1476, 3829, 2264, 4984, 5607, 4688, 350, 413, 864, 3566, 344, 642, 1697, 6777, 1156, 878, 5863, 1001, 5523, 1578, 1177, 3084, 42, 3018, 905, 9929, 2264, 674, 5220, 1743, 58, 564, 2973, 2001, 40, 5606, 3889, 5772, 3104, 8177, 1687, 1485]"
473,"[4361, 2272, 2998, 789, 3058, 5527, 2833, 2003, 43, 5222, 1708, 9324, 1744, 7233, 1671, 1179, 6621, 2212, 907, 43, 8048, 688, 42, 484, 2528, 947, 3412, 2346, 9439, 1278, 6327, 3683, 283, 9482, 46, 528, 1003, 746, 35, 1003, 1478, 3831, 2266, 4985, 5611, 4689, 351, 414, 865, 3567, 345, 644, 1699, 6779, 1157, 880, 5865, 1003, 5527, 1580, 1179, 3086, 42, 3020, 907, 9930, 2266, 675, 5222, 1744, 58, 565, 2975, 2003, 40, 5610, 3891, 5774, 3105, 8179, 1691, 1487]"
474,"[174, 4947, 804, 1710, 5051, 279, 1947, 5051, 3605, 1058, 397, 1330, 273, 1160, 1985, 2406, 180, 5200, 505, 924, 448, 437, 3071, 1314, 926, 3432, 1785, 3431, 4727, 924, 6699, 399, 273, 9094, 1123, 1519, 463, 404, 6879, 846, 6701, 430, 890, 192, 1331, 890, 3481, 330, 7726, 5304, 7726, 505, 185, 816, 438, 1086, 339, 201, 2568, 404, 2953, 2622, 2322, 7229, 249, 816, 775, 185, 314, 181, 56, 553, 472, 293, 8374, 330, 3588, 226, 192, 1758, 1293, 1815, 3841, 5499, 3646, 397, 293, 279, 440, 318, 288, 1831, 321, 289, 404, 890, 186, 1313, 272, 1710, 401, 2758, 404, 1785, 3431, 3021, 8787, 3243, 9433, 1521, 321, 186, 4032, 624, 249, 7586, 2730, 5024, 4718, 1350, 4040, 2745, 7355, 276, 1758, 272, 2879, 4942, 431, 438, 3768, 397, 1158, 249, 288, 4293, 4102, 4285, 438, 431, 321, 7104, 590, 4028, 421, 1085, 326, 2365, 448, 293, 4951, 249, 179, 276, 434, 461, 190, 5873, 172]"
475,"[2236, 4051, 175, 2321, 3946, 7844, 3946, 9316, 2034, 593, 41, 1228, 7359, 2949, 486, 2972, 707, 9293, 2041, 153, 2154, 2606, 5167, 2383, 786, 4435, 5254, 4439, 4617, 280, 4756, 563, 5546, 44, 3435, 255, 1224, 9924, 8257, 1987, 3934, 4447, 482, 4856, 3330, 2848, 4535, 2529, 574, 4429, 2529, 574, 3048, 549, 1770, 2014, 8812, 6339, 3099, 424, 37, 3963, 7490, 30, 5126, 786, 37, 753, 3124, 1286, 39, 526, 885, 329, 2964, 648, 503, 3611, 214, 6776, 1490, 4930, 6417, 35, 1903, 375, 724, 35, 558, 354, 5511, 5789, 32, 1434, 346, 482, 753, 280, 1393, 37, 648, 486, 782, 4439, 346, 5493, 5254, 3906, 4617, 6192, 2954, 526, 5912, 33, 1735, 346, 3773, 30, 900, 251, 2934, 48, 5287, 8228, 3596, 268, 2321, 4161, 3462, 346, 4187, 1842, 340, 526, 1000, 259, 2670, 5287, 6857, 2203, 3190, 782, 3414, 482, 877, 230, 2328, 682, 7425, 3457, 280, 2797, 42, 1488, 2529, 340, 8941, 354, 900, 2115, 329, 3425, 8061, 2115, 1036]"
476,"[2236, 4053, 177, 2391, 3517, 7848, 3517, 9315, 2035, 595, 41, 1264, 7360, 2951, 488, 2974, 709, 9292, 1937, 152, 2153, 2608, 5169, 2385, 788, 4436, 5255, 4440, 4616, 282, 4757, 562, 5547, 44, 3487, 257, 1226, 9923, 8254, 1986, 3845, 4450, 481, 4858, 2402, 2850, 4537, 2530, 576, 4428, 2530, 576, 3047, 551, 1772, 2012, 227, 25, 6341, 3098, 425, 37, 3965, 7491, 30, 5128, 788, 37, 755, 3125, 1284, 39, 525, 886, 331, 3010, 649, 502, 3610, 216, 6774, 1559, 4931, 6419, 35, 1902, 383, 725, 35, 559, 360, 5510, 5790, 32, 1435, 349, 481, 755, 282, 1395, 37, 649, 488, 781, 4440, 349, 5491, 5255, 3907, 4616, 6193, 3282, 525, 5913, 33, 1808, 349, 3775, 30, 896, 253, 2935, 48, 5286, 8229, 3598, 270, 2391, 4163, 3461, 349, 4188, 2061, 343, 525, 1002, 261, 2669, 5286, 6858, 2565, 3133, 781, 3689, 481, 879, 232, 2327, 678, 7426, 3456, 282, 2798, 42, 1537, 2530, 343, 8940, 360, 896, 2117, 331, 3471, 8060, 2117, 1038]"
477,"[174, 4986, 840, 7997, 468, 3247, 1815, 468, 3544, 1060, 406, 2149, 330, 1106, 1984, 3134, 179, 5198, 839, 1267, 467, 497, 3141, 1312, 1870, 5416, 2882, 4363, 450, 624, 1267, 7604, 465, 330, 973, 468, 1526, 973, 611, 505, 7181, 1681, 293, 857, 590, 1590, 226, 2454, 1590, 5410, 802, 7727, 5690, 7727, 839, 339, 819, 441, 1085, 1373, 294, 2570, 505, 7193, 5725, 2545, 7216, 670, 819, 774, 339, 395, 185, 44, 553, 706, 517, 395, 836, 802, 3594, 609, 226, 1757, 1330, 634, 339, 3923, 5671, 3295, 406, 517, 321, 472, 634, 318, 1944, 623, 396, 505, 1590, 190, 1311, 420, 2166, 400, 4502, 505, 2882, 4363, 396, 3609, 8221, 3514, 8676, 3150, 623, 190, 4031, 1501, 670, 272, 179, 2729, 5025, 4755, 1408, 3782, 2744, 711, 450, 293, 1757, 420, 2755, 4973, 430, 441, 3783, 406, 1374, 670, 3943, 400, 5238, 4305, 441, 430, 623, 7105, 1072, 4059, 468, 1549, 589, 2401, 467, 517, 5074, 9581, 293, 836, 566, 2314, 1176, 172]"
478,"[174, 4939, 806, 1723, 7259, 2444, 4583, 422, 6022, 1098, 398, 1293, 277, 1180, 402, 2315, 196, 666, 292, 404, 942, 460, 442, 3067, 1315, 925, 3434, 1811, 3365, 4823, 942, 6710, 403, 277, 8561, 1125, 1522, 464, 405, 6880, 845, 7989, 431, 7734, 1332, 889, 3482, 273, 6790, 5283, 6790, 9514, 817, 498, 1185, 185, 202, 2571, 405, 2207, 2595, 2323, 7243, 179, 817, 776, 181, 5249, 553, 440, 276, 8375, 273, 3589, 5961, 1756, 1370, 288, 181, 1467, 404, 4170, 4593, 276, 304, 447, 288, 302, 1877, 279, 290, 405, 889, 194, 1535, 267, 1723, 402, 3379, 405, 1811, 3365, 3022, 8789, 3181, 8356, 1234, 279, 194, 1933, 410, 179, 307, 5343, 5028, 4158, 1352, 2757, 2261, 2315, 313, 1756, 267, 2687, 186, 1127, 506, 498, 4136, 1159, 179, 302, 4383, 4300, 4459, 498, 506, 279, 8326, 430, 1885, 1920, 1086, 317, 2440, 460, 4575, 447, 179, 180, 313, 435, 462, 186, 965, 8797]"
479,"[174, 3699, 818, 7335, 592, 2499, 1356, 592, 498, 2131, 266, 597, 1370, 379, 680, 2005, 9461, 9440, 405, 2854, 8769, 2795, 1368, 3615, 790, 307, 6587, 4185, 5424, 8118, 379, 8980, 1333, 647, 622, 728, 6878, 1695, 5047, 506, 914, 5305, 3976, 832, 277, 635, 585, 438, 302, 635, 4320, 184, 635, 1769, 2256, 181, 1558, 7389, 2216, 2824, 3226, 7246, 9977, 790, 184, 4667, 553, 447, 313, 3833, 277, 5804, 198, 68, 5423, 2275, 4583, 78, 4320, 1163, 588, 749, 313, 455, 618, 302, 1356, 871, 304, 63, 838, 184, 2870, 1355, 307, 2114, 1849, 325, 6918, 307, 6587, 2724, 9080, 3360, 3818, 592, 1235, 1879, 4037, 407, 3766, 3607, 591, 5027, 180, 69, 1420, 8006, 6768, 1755, 8930, 1163, 1736, 3629, 1612, 929, 4127, 2197, 180, 1356, 815, 5020, 4212, 1769, 1186, 1879, 6687, 431, 3815, 592, 1185, 4481, 1736, 1281, 3467, 180, 666, 785, 529, 1202, 666, 820]"
480,"[2236, 4052, 176, 2350, 3947, 7846, 3947, 9317, 2036, 594, 41, 1265, 7361, 2950, 492, 2973, 708, 9294, 2042, 154, 2155, 2607, 5168, 2384, 787, 4437, 5256, 4441, 4618, 281, 4758, 564, 5548, 44, 3488, 256, 1225, 9925, 8258, 1988, 3935, 4448, 483, 4857, 3331, 2849, 4536, 2531, 575, 4430, 2531, 575, 3049, 550, 1771, 2016, 228, 25, 6340, 3100, 423, 37, 3961, 7489, 30, 5127, 787, 37, 754, 3126, 1285, 39, 527, 887, 332, 3009, 650, 507, 3612, 215, 6778, 1560, 4932, 6418, 35, 1904, 390, 726, 35, 560, 361, 5512, 5791, 32, 1436, 350, 483, 754, 281, 1394, 37, 650, 492, 783, 4441, 350, 5495, 5256, 3908, 4618, 6194, 3283, 527, 5914, 33, 1809, 350, 3774, 30, 901, 252, 2936, 48, 5288, 8230, 3597, 269, 2350, 4162, 3463, 350, 4189, 1843, 347, 527, 1001, 260, 2671, 5288, 6859, 2566, 3191, 783, 3690, 483, 878, 231, 2329, 683, 7427, 3458, 281, 2799, 42, 1538, 2531, 347, 8942, 361, 901, 2116, 332, 3426, 8062, 2116, 1037]"
481,"[2236, 4054, 178, 2351, 3948, 7847, 3948, 9318, 2037, 596, 41, 1266, 7362, 2952, 493, 2975, 710, 9295, 2043, 155, 2156, 2609, 5170, 2386, 789, 4438, 5257, 4442, 4619, 283, 4759, 565, 5549, 44, 3489, 258, 1227, 9926, 8259, 1989, 3936, 4452, 484, 4859, 3332, 2851, 4538, 2532, 577, 4431, 2532, 577, 3050, 552, 1773, 2018, 229, 25, 6342, 3101, 426, 37, 3967, 7492, 30, 5129, 789, 37, 756, 3127, 1287, 39, 528, 888, 333, 3011, 651, 508, 3613, 217, 6780, 1561, 4933, 6420, 35, 1905, 391, 727, 35, 561, 362, 5513, 5792, 32, 1437, 351, 484, 756, 283, 1396, 37, 651, 493, 784, 4442, 351, 5497, 5257, 3909, 4619, 6195, 3284, 528, 5915, 33, 1810, 351, 3776, 30, 902, 254, 2937, 48, 5289, 8231, 3599, 271, 2351, 4164, 3464, 351, 4190, 1844, 348, 528, 1003, 262, 2672, 5289, 6860, 2567, 3192, 784, 3691, 484, 880, 233, 2330, 684, 7428, 3459, 283, 2800, 42, 1539, 2532, 348, 8943, 362, 902, 2118, 333, 3427, 8063, 2118, 1039]"
482,"[174, 272, 7745, 6497, 7745, 410, 2875, 8802, 399, 226, 290, 6952, 1086, 9297, 52, 587, 56, 587, 61, 2090, 267, 7745, 404, 199, 1875, 435, 399, 3377, 4179, 7593, 4104, 6185, 8861, 312, 277, 304, 447, 1811, 435, 192, 7227, 208, 6654, 277, 457, 8136, 2554, 179, 2757, 435, 448, 953, 9241, 288, 9205, 2723, 3584, 302, 459, 276, 1125, 275, 267, 6679, 5445, 279, 7407, 430, 186, 278, 1758, 290, 438, 204, 2308, 431, 290, 1125, 181, 4176, 4181, 979, 800, 5213, 805, 1299, 198, 1399, 185, 1931, 464, 431, 189, 1885, 422, 431, 2162, 2106, 472, 185, 276, 5058, 1123, 1174, 6866, 9820, 7402, 3743, 1158, 2161, 6679, 8036, 1723, 367, 275, 4576, 2208, 7258, 5649, 965, 367, 2050, 45, 616, 279, 7407, 467, 5022, 4578, 3605, 991, 403, 323, 1104, 272, 4175, 464, 5778, 318, 267, 4467, 2933, 330, 181, 3511, 321, 438, 249, 3015, 3357, 5426, 5112, 4991, 184, 172]"
483,"[1357, 3340, 652, 5376, 3340, 652, 42, 4622, 5809, 2956, 234, 7040, 54, 1117, 1343, 52, 1343, 56, 1343, 61, 7440, 49, 3340, 652, 47, 918, 2509, 652, 49, 7702, 5142, 9549, 7643, 1741, 46, 695, 6421, 341, 409, 967, 1646, 340, 862, 3059, 328, 63, 3112, 3574, 54, 681, 482, 1273, 1282, 3083, 42, 214, 503, 652, 52, 4850, 7413, 737, 5635, 1906, 346, 563, 356, 503, 1219, 47, 409, 1150, 329, 503, 652, 42, 354, 673, 8260, 45, 1119, 218, 4187, 51, 409, 1439, 234, 3949, 2013, 409, 222, 49, 7963, 3912, 1646, 218, 6532, 1746, 9017, 3380, 2422, 37, 1770, 1741, 57, 510, 280, 297, 4782, 57, 520, 6724, 541, 3903, 280, 6482, 44, 1228, 1995, 6540, 6836, 2615, 2041, 6523, 652, 47, 1228, 329, 259, 652, 5381, 341, 503, 730, 6632, 409, 737, 2637, 259, 4406, 2013, 214, 541, 3827, 45, 1451, 44, 8260, 40, 5855, 904, 7533, 5905, 3949, 384, 538, 967, 1117, 340, 6482, 4255, 639, 329, 503, 944, 3617, 900, 329, 259, 1741, 32, 409, 900, 3642, 578, 554, 32, 3380, 2014, 9746, 384, 1036]"
484,"[1357, 3341, 654, 5375, 3341, 654, 42, 4621, 5811, 2955, 238, 7646, 54, 1155, 1347, 52, 1347, 56, 1347, 61, 7442, 49, 3341, 654, 47, 917, 2511, 654, 49, 7701, 5308, 536, 672, 8410, 1742, 46, 696, 6966, 342, 412, 964, 1645, 343, 863, 3095, 967, 3114, 2432, 54, 689, 481, 1290, 1297, 3085, 42, 216, 502, 654, 52, 4849, 7415, 736, 5637, 1908, 349, 562, 358, 502, 1218, 47, 412, 1181, 331, 502, 654, 42, 360, 672, 8261, 45, 1118, 220, 4188, 51, 412, 1438, 238, 3950, 1993, 412, 227, 49, 8337, 4271, 1645, 220, 5533, 1748, 9019, 3382, 580, 2402, 1772, 1742, 57, 509, 282, 299, 4783, 57, 519, 6725, 543, 3902, 282, 6483, 44, 1264, 1997, 6541, 6835, 2617, 1937, 6526, 654, 47, 1264, 331, 261, 654, 5380, 342, 502, 729, 6895, 412, 736, 2517, 261, 4407, 1993, 216, 543, 3911, 45, 1818, 8261, 40, 5854, 906, 7534, 5907, 3950, 386, 537, 964, 1155, 343, 6483, 4256, 637, 331, 502, 946, 3679, 896, 331, 261, 1742, 32, 412, 896, 3644, 580, 556, 32, 3382, 2012, 9745, 386, 1038]"
485,"[174, 420, 7744, 6250, 7744, 624, 2829, 3924, 465, 609, 289, 6153, 1085, 25, 587, 40, 587, 44, 587, 49, 2090, 272, 7744, 505, 212, 1874, 434, 465, 3297, 4177, 7620, 321, 192, 3242, 8866, 323, 273, 279, 440, 1785, 434, 226, 7210, 188, 6655, 273, 456, 8195, 2552, 249, 4040, 434, 467, 955, 9239, 3943, 3286, 3247, 6170, 288, 458, 293, 1123, 372, 272, 6409, 6452, 321, 7401, 590, 190, 275, 1757, 289, 441, 210, 2335, 430, 289, 1123, 185, 4171, 3945, 980, 808, 5258, 803, 1283, 192, 1398, 339, 1873, 463, 430, 320, 4709, 2447, 2635, 2105, 706, 339, 293, 4366, 1526, 1361, 6865, 9821, 7503, 3744, 1374, 2185, 6409, 8984, 1710, 366, 372, 4821, 3901, 6940, 5824, 966, 366, 3046, 33, 616, 321, 7401, 711, 5023, 4589, 3544, 990, 399, 523, 1069, 420, 275, 4366, 6039, 634, 272, 3238, 4401, 802, 185, 3507, 623, 441, 670, 185, 195, 3356, 5658, 5113, 5007, 181, 172]"
486,"[174, 3587, 2778, 440, 3376, 2778, 407, 3327, 2778, 403, 192, 322, 1683, 1185, 9328, 64, 587, 68, 9559, 2090, 3437, 2778, 405, 200, 322, 1881, 4700, 1832, 5045, 7972, 8367, 1443, 9118, 315, 379, 455, 618, 307, 3576, 198, 7240, 75, 2220, 1975, 379, 591, 8133, 2626, 3479, 1764, 460, 1089, 9240, 302, 9812, 2444, 3621, 6745, 313, 1333, 278, 307, 1764, 5448, 304, 7130, 431, 194, 355, 1756, 8863, 205, 322, 225, 506, 322, 1333, 184, 4050, 3939, 999, 801, 2674, 4321, 1275, 705, 161, 181, 9819, 506, 188, 913, 8491, 1342, 1603, 440, 181, 313, 4083, 1125, 1175, 6864, 9827, 7408, 3745, 1159, 1372, 1764, 448, 7600, 69, 718, 278, 4491, 2217, 223, 3359, 498, 208, 1503, 2052, 57, 616, 304, 7130, 448, 5026, 4666, 6022, 3120, 143, 312, 1780, 267, 355, 4083, 5777, 288, 307, 2625, 2921, 5983, 3301, 279, 498, 5407, 3110, 207, 5055, 5118, 7117, 820]"
487,"[174, 3245, 7580, 447, 1544, 7580, 436, 705, 9539, 716, 8800, 6763, 2256, 61, 587, 76, 587, 80, 587, 85, 2090, 8756, 7580, 728, 645, 518, 656, 716, 2520, 734, 379, 1418, 2814, 301, 1672, 70, 712, 160, 72, 501, 504, 3614, 8756, 869, 705, 324, 87, 2220, 3064, 78, 2174, 899, 1610, 2503, 3324, 1295, 7371, 713, 2145, 8513, 1356, 7688, 2499, 225, 6744, 1231, 71, 5119, 1821, 7371, 5275, 2342, 5432, 506, 71, 209, 8930, 75, 1682, 1076, 501, 1612, 75, 5119, 1678, 749, 5204, 1678, 832, 2596, 3174, 704, 236, 2425, 9008, 1672, 1186, 1107, 301, 3310, 1186, 1126, 5432, 447, 5586, 6032, 1333, 3634, 6794, 9786, 7478, 3738, 2197, 1210, 263, 6768, 4304, 586, 734, 1544, 1682, 2436, 1255, 5149, 2010, 547, 2054, 69, 616, 2342, 5432, 460, 6338, 4611, 498, 1725, 263, 2040, 315, 87, 160, 3245, 6032, 5782, 3224, 586, 943, 2908, 4276, 263, 1672, 304, 929, 3766, 263, 582, 207, 6951, 5900, 4646, 388, 820]"
488,"[1357, 3342, 653, 5377, 3342, 653, 42, 4623, 5814, 2957, 237, 7648, 54, 1156, 1346, 52, 1346, 56, 1346, 61, 7441, 49, 3342, 653, 47, 919, 2510, 653, 49, 7703, 5143, 545, 674, 8413, 1743, 46, 697, 6967, 344, 415, 968, 1647, 347, 864, 3060, 741, 63, 3113, 3572, 54, 692, 483, 1289, 1296, 3084, 42, 215, 507, 653, 52, 4851, 7417, 738, 5639, 1907, 350, 564, 357, 507, 1220, 47, 415, 1182, 332, 507, 653, 42, 361, 674, 8262, 45, 1120, 219, 4189, 51, 415, 1440, 237, 3951, 2015, 415, 228, 49, 7964, 4272, 1647, 219, 6533, 1747, 9018, 3381, 2423, 37, 1771, 1743, 57, 511, 281, 298, 4784, 57, 521, 6726, 542, 3904, 281, 6484, 44, 1265, 1996, 6542, 6837, 2616, 2042, 6525, 653, 47, 1265, 332, 260, 653, 5382, 344, 507, 731, 6633, 415, 738, 2636, 260, 4408, 2015, 215, 542, 3825, 45, 1457, 44, 8262, 40, 5856, 905, 7535, 5906, 3951, 385, 539, 968, 1156, 347, 6484, 4257, 641, 332, 507, 945, 3618, 901, 332, 260, 1743, 32, 415, 901, 3643, 579, 555, 32, 3381, 2016, 9747, 385, 1037]"
489,"[1357, 3343, 655, 5378, 3343, 655, 42, 4624, 5815, 2958, 239, 7650, 54, 1157, 1348, 52, 1348, 56, 1348, 61, 7443, 49, 3343, 655, 47, 920, 2512, 655, 49, 7704, 5144, 546, 675, 8414, 1744, 46, 698, 6968, 345, 416, 969, 1648, 348, 865, 3061, 742, 63, 3115, 3573, 54, 693, 484, 1291, 1298, 3086, 42, 217, 508, 655, 52, 4852, 7419, 739, 5641, 1909, 351, 565, 359, 508, 1221, 47, 416, 1183, 333, 508, 655, 42, 362, 675, 8263, 45, 1121, 221, 4190, 51, 416, 1441, 239, 3952, 2017, 416, 229, 49, 7965, 4273, 1648, 221, 6534, 1749, 9020, 3383, 2424, 37, 1773, 1744, 57, 512, 283, 300, 4785, 57, 522, 6727, 544, 3905, 283, 6485, 44, 1266, 1998, 6543, 6838, 2618, 2043, 6528, 655, 47, 1266, 333, 262, 655, 5383, 345, 508, 732, 6634, 416, 739, 2638, 262, 4409, 2017, 217, 544, 3826, 45, 1458, 44, 8263, 40, 5857, 907, 7536, 5908, 3952, 387, 540, 969, 1157, 348, 6485, 4258, 643, 333, 508, 947, 3619, 902, 333, 262, 1744, 32, 416, 902, 3645, 581, 557, 32, 3383, 2018, 9748, 387, 1039]"
490,"[174, 314, 1586, 499, 467, 2978, 5290, 6820, 2777, 1078, 401, 1521, 326, 6820, 2777, 2208, 2506, 624, 264, 4464, 473, 224, 3431, 1330, 2931, 2506, 2144, 2561, 431, 318, 296, 2065, 2053, 8838, 183, 768, 1366, 202, 1314, 1080, 316, 453, 448, 190, 295, 2916, 452, 5680, 976, 3415, 7494, 318, 195, 4299, 3508, 993, 296, 463, 495, 264, 6414, 1158, 36, 587, 40, 587, 43, 587, 48, 2090, 224, 1319, 937, 2202, 2194, 499, 430, 986, 453, 456, 193, 2087, 499, 314, 1158, 323, 2290, 204, 6030, 4574, 499, 475, 1138, 1065, 1015, 4080, 9175, 5761, 768, 224, 188, 4808, 212, 3335, 429, 1208, 6151, 768, 6097, 9044, 3062, 6097, 9273, 5761, 768, 210, 1193, 1314, 3119, 842, 7855, 461, 1345, 987, 976, 53, 621]"
491,"[1768, 3443, 777, 3462, 1622, 8466, 7474, 5363, 2521, 574, 33, 1488, 7474, 5363, 486, 3530, 574, 7196, 255, 599, 43, 1717, 251, 574, 41, 1244, 885, 5065, 1968, 4634, 503, 639, 373, 534, 419, 60, 419, 31, 2343, 796, 29, 5749, 235, 1362, 34, 1598, 235, 909, 3103, 1598, 3519, 43, 538, 2097, 5891, 554, 36, 6230, 3920, 3443, 1204, 3152, 538, 2585, 1245, 48, 3468, 3145, 6145, 1349, 1343, 40, 1343, 43, 1343, 48, 7440, 33, 753, 956, 175, 1653, 373, 3255, 4447, 6036, 626, 48, 2045, 389, 1204, 41, 346, 1349, 625, 6199, 1224, 6886, 7613, 41, 606, 1577, 1301, 4231, 6116, 2949, 7760, 33, 234, 235, 932, 34, 4814, 599, 48, 1150, 2240, 796, 2859, 786, 36, 5891, 3034, 2859, 7096, 8609, 38, 1081, 5529, 1081, 1362, 4791, 892, 3405, 3128, 4444, 1668, 8542, 1484]"
492,"[1768, 3444, 779, 3461, 1623, 8468, 7475, 5362, 2522, 576, 33, 1537, 7475, 5362, 488, 3520, 576, 7195, 257, 601, 43, 1719, 253, 576, 41, 1276, 886, 5067, 1967, 4635, 502, 637, 376, 536, 352, 9942, 31, 2345, 798, 29, 5751, 241, 1364, 34, 1600, 241, 910, 3102, 1600, 3523, 43, 537, 2099, 5893, 556, 36, 6232, 3583, 3444, 1205, 3153, 537, 2587, 1246, 48, 3470, 3147, 5754, 1389, 1347, 40, 1347, 43, 1347, 48, 7442, 33, 755, 958, 177, 1677, 376, 3080, 4450, 6035, 628, 48, 2044, 392, 1205, 41, 349, 1389, 631, 6197, 1226, 6885, 7615, 41, 604, 1579, 1303, 4233, 6117, 2951, 7762, 33, 238, 241, 934, 34, 4816, 601, 48, 1181, 2242, 798, 2861, 788, 36, 5893, 3036, 2861, 7100, 2242, 9641, 1083, 5531, 1083, 1364, 4793, 894, 3407, 3129, 4443, 1670, 8544, 1486]"
493,"[174, 395, 1616, 572, 711, 2982, 8446, 6821, 4328, 1080, 400, 3150, 589, 6821, 4328, 3901, 2507, 1501, 676, 6946, 4144, 548, 4363, 2149, 6752, 2507, 2590, 2632, 430, 634, 295, 2063, 2051, 676, 1750, 767, 791, 451, 201, 1312, 5829, 314, 473, 467, 439, 450, 5962, 646, 7447, 1012, 4259, 8657, 634, 224, 5250, 4061, 451, 2334, 611, 1188, 676, 294, 857, 1374, 24, 587, 28, 587, 31, 587, 36, 2090, 548, 1366, 1035, 5828, 2289, 572, 590, 1613, 7058, 363, 2089, 572, 395, 1374, 523, 4677, 210, 611, 970, 4846, 572, 694, 2049, 1138, 1022, 4352, 9176, 5797, 767, 548, 189, 4807, 474, 2931, 428, 1367, 6183, 767, 6099, 9105, 3094, 6099, 9274, 5797, 767, 451, 1194, 1312, 3136, 860, 7849, 566, 3088, 1108, 1012, 41, 621]"
494,"[174, 316, 1449, 500, 2315, 1522, 5291, 6822, 2840, 1087, 402, 1234, 317, 6822, 2840, 2217, 2508, 410, 5765, 432, 453, 195, 3365, 1293, 3335, 2508, 2143, 2562, 506, 288, 325, 2067, 2096, 197, 7570, 769, 1319, 211, 1315, 1078, 364, 454, 460, 186, 296, 5966, 449, 5677, 1014, 3416, 7493, 288, 196, 4045, 3501, 992, 325, 464, 496, 197, 5964, 1159, 48, 587, 52, 587, 55, 587, 60, 2090, 195, 1320, 938, 4944, 2196, 500, 431, 985, 454, 457, 191, 1994, 500, 316, 1159, 312, 2291, 6686, 461, 3926, 500, 466, 1065, 1067, 1070, 4082, 5182, 448, 7558, 769, 195, 208, 2890, 199, 3298, 432, 1209, 183, 205, 2287, 6098, 9034, 3063, 6098, 9279, 7558, 769, 204, 1274, 1315, 3068, 843, 7819, 462, 975, 988, 1014, 65, 621]"
